@relation NumericData

@attribute x1 numeric
@attribute x2 numeric
@attribute x3 numeric
@attribute x4 numeric
@attribute x5 numeric
@attribute x6 numeric
@attribute x7 numeric

@data
0,0,0,0,0,0,0
0,1,0,0,0,1,0
1,2,0,0,1,1,0
1,3,0,0,1,2,0
1,3,0,0,1,0,0
2,4,0,0,2,0,0
0,5,0,1,0,0,0
0,6,0,2,1,0,0
0,6,0,2,1,2,0
3,7,0,3,0,1,0
0,4,0,2,3,2,0
0,8,0,2,1,0,1
0,8,0,2,1,1,1
0,6,0,2,1,1,0
0,8,0,2,1,1,1
0,6,0,2,1,2,0
1,3,0,0,1,1,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,6,0,2,1,0,0
0,6,0,2,1,1,0
0,9,0,1,1,0,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,10,0,2,2,0,0
0,6,0,2,1,1,0
0,4,0,2,0,0,0
4,11,0,2,2,1,0
0,8,0,2,1,2,0
5,12,0,2,0,1,0
5,5,0,2,2,0,0
0,6,0,2,1,0,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,6,0,2,1,0,0
6,13,1,2,1,1,1
6,13,1,2,1,2,1
6,14,1,2,1,0,0
1,4,0,0,0,1,0
7,4,0,2,0,2,0
7,4,0,2,0,1,0
0,6,0,2,1,0,0
0,7,0,0,1,1,0
0,6,0,2,1,1,0
0,0,0,2,3,2,0
0,6,0,2,1,1,0
0,6,0,2,1,1,0
0,6,0,2,1,0,0
4,15,0,0,1,0,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
4,7,2,2,1,1,0
3,7,0,2,3,0,0
4,0,0,2,0,0,0
0,6,0,2,1,1,0
0,16,0,2,0,1,0
0,6,0,2,1,0,0
4,17,0,0,1,0,0
0,18,0,1,0,0,0
0,9,0,0,1,2,0
0,9,3,0,1,0,0
0,1,0,0,0,1,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
4,8,0,2,0,2,2
0,6,0,2,1,1,0
0,6,0,2,1,0,0
0,15,0,0,1,1,0
0,6,0,2,1,1,0
0,6,0,2,1,0,0
0,14,0,2,2,1,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
4,9,0,1,1,1,0
0,8,0,0,1,2,0
0,6,0,2,1,0,0
4,19,0,0,0,1,0
0,6,0,2,1,2,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,7,0,0,3,2,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
0,1,0,0,0,1,0
0,10,0,0,0,2,0
0,6,0,2,1,2,0
0,8,0,2,2,2,0
1,9,1,0,1,1,0
1,3,0,0,1,1,0
1,3,0,0,1,1,0
1,3,0,0,1,2,0
1,3,0,0,1,0,0
4,7,0,2,0,0,0
0,0,0,2,2,2,0
0,6,0,2,1,0,0
6,14,1,2,1,1,1
0,6,0,2,1,0,0
4,8,0,2,0,0,1
6,14,0,2,1,1,1
6,14,1,1,1,2,1
6,14,1,4,1,1,1
4,14,0,2,1,1,1
4,10,0,2,0,0,1
4,5,0,2,0,1,1
0,6,0,2,1,2,0
0,6,0,2,1,1,0
4,12,0,2,0,1,1
0,6,0,2,1,1,0
0,6,0,2,1,1,0
4,12,0,2,1,0,1
0,6,0,2,1,1,0
0,6,0,2,1,1,0
0,6,0,2,1,1,0
0,12,0,2,1,0,1
4,20,0,2,2,0,1
0,21,0,1,2,1,0
0,6,0,2,1,1,0
0,1,2,1,1,1,0
0,22,0,0,1,0,0
0,6,0,2,1,2,0
0,4,0,1,2,2,0
0,6,0,2,1,2,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,6,0,2,1,1,0
0,6,0,2,1,0,0
0,6,0,2,1,1,0
0,6,0,2,1,1,0
0,6,0,2,1,1,0
0,6,0,2,1,0,0
0,6,0,2,1,1,0
0,6,0,2,1,0,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,6,0,2,1,2,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,6,0,2,1,2,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
0,6,0,2,1,2,0
0,6,0,2,1,1,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
0,6,0,2,1,2,0
5,5,0,2,2,2,0
0,5,0,2,2,0,0
3,21,2,4,1,0,0
0,12,0,2,0,0,0
0,23,0,2,2,2,0
0,6,0,2,1,2,0
0,24,1,1,0,2,0
1,1,3,0,1,0,0
3,7,2,2,1,1,0
3,25,0,2,0,2,0
3,0,0,2,2,1,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,6,0,2,1,1,0
0,26,0,2,0,2,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,6,0,2,1,1,0
0,6,0,2,1,0,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
0,8,0,2,2,0,0
0,5,0,2,1,0,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,6,0,2,1,2,0
0,6,0,2,1,1,0
3,15,0,0,1,2,0
0,6,0,2,1,0,0
0,6,0,2,1,1,0
4,0,0,1,1,2,0
0,6,0,2,1,1,0
7,13,0,1,0,1,0
0,8,0,2,0,0,1
0,6,0,2,1,0,0
5,21,2,4,1,0,0
0,4,0,2,2,2,0
4,8,0,2,2,0,1
0,6,0,2,1,0,0
0,1,3,0,1,1,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,6,0,2,1,0,0
0,6,0,2,1,2,0
0,6,0,2,1,0,0
0,10,0,2,1,1,0
0,6,0,2,1,2,0
0,12,0,1,1,0,1
0,6,0,2,1,0,0
0,7,0,1,1,2,0
0,6,0,2,1,2,0
0,6,0,2,1,2,0
0,6,0,2,1,2,0
0,6,0,2,1,1,0
0,6,0,2,1,2,0
0,6,0,2,1,1,0
0,8,0,2,0,2,1
0,8,0,2,0,1,1
0,6,0,2,1,0,0
0,8,0,2,0,2,1
0,27,1,1,1,0,0
7,1,1,0,1,0,0
0,21,3,0,1,2,0
0,5,1,0,1,2,0
0,6,0,2,1,1,0
0,28,0,2,2,2,0
8,13,0,2,0,0,0
0,12,0,2,0,0,0
0,6,0,2,1,0,0
0,6,0,2,1,2,0
0,6,0,2,1,1,0
0,29,0,1,1,2,0
0,11,0,2,0,1,0
4,30,0,2,0,1,0
4,31,0,2,0,2,0
4,9,0,1,0,0,0
4,7,0,2,0,2,0
7,31,2,0,0,1,0
4,7,0,2,1,1,0
4,7,0,2,1,0,0
4,32,0,0,1,1,0
4,25,2,1,1,0,0
4,8,0,2,1,0,0
4,32,0,0,1,0,0
4,33,2,0,1,0,0
4,31,0,2,1,0,0
4,31,0,0,0,2,0
4,34,0,2,2,0,0
0,5,0,2,0,0,1
4,7,0,2,2,0,0
4,35,0,0,0,2,0
4,32,0,0,1,2,0
