@relation NumericData

@attribute Ville numeric
@attribute Secteur_activite numeric
@attribute Type_contrat numeric
@attribute Niveau_etudes numeric
@attribute Experience numeric
@attribute Langue numeric
@attribute Salaire numeric
@attribute Teletravail numeric

@data
0,0,0,0,0,0,7800,0
0,1,0,0,0,1,7800,0
1,2,0,0,1,1,7400,0
1,3,0,0,1,2,8400,0
1,3,0,0,1,0,5000,0
2,4,0,0,2,0,19200,0
0,5,0,1,0,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
3,7,0,3,0,1,7800,0
0,4,0,2,3,2,29400,0
0,8,0,2,1,0,6600,1
0,8,0,2,1,1,6600,1
0,6,0,2,1,1,7800,0
0,8,0,2,1,1,5800,1
0,6,0,2,1,2,7800,0
1,3,0,0,1,1,8000,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,9,0,1,1,0,8200,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,10,0,2,2,0,16600,0
0,6,0,2,1,1,7800,0
0,4,0,2,0,0,7800,0
4,11,0,2,2,1,19200,0
0,8,0,2,1,2,7800,0
5,12,0,2,0,1,7800,0
5,5,0,2,2,0,19600,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
6,13,1,2,1,1,8200,1
6,13,1,2,1,2,6200,1
6,14,1,2,1,0,6000,0
1,4,0,0,0,1,7800,0
7,4,0,2,0,2,7800,0
7,4,0,2,0,1,7800,0
0,6,0,2,1,0,7800,0
0,7,0,0,1,1,5600,0
0,6,0,2,1,1,7800,0
0,0,0,2,3,2,34200,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
4,15,0,0,1,0,5800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
4,7,2,2,1,1,5200,0
3,7,0,2,3,0,41200,0
4,0,0,2,0,0,7800,0
0,6,0,2,1,1,7800,0
0,16,0,2,0,1,7800,0
0,6,0,2,1,0,7800,0
4,17,0,0,1,0,9000,0
0,18,0,1,0,0,7800,0
0,9,0,0,1,2,5600,0
0,9,3,0,1,0,6600,0
0,1,0,0,0,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
4,8,0,2,0,2,7800,2
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,15,0,0,1,1,5400,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,14,0,2,2,1,15000,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
4,9,0,1,1,1,8800,0
0,8,0,0,1,2,5200,0
0,6,0,2,1,0,7800,0
4,19,0,0,0,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,7,0,0,3,2,44400,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,1,0,0,0,1,7800,0
0,10,0,0,0,2,7800,0
0,6,0,2,1,2,7800,0
0,8,0,2,2,2,15400,0
1,9,1,0,1,1,5200,0
1,3,0,0,1,1,8800,0
1,3,0,0,1,1,6400,0
1,3,0,0,1,2,8600,0
1,3,0,0,1,0,5400,0
4,7,0,2,0,0,7800,0
0,0,0,2,2,2,16200,0
0,6,0,2,1,0,7800,0
6,14,1,2,1,1,6200,1
0,6,0,2,1,0,7800,0
4,8,0,2,0,0,7800,1
6,14,0,2,1,1,6400,1
6,14,1,1,1,2,8800,1
6,14,1,4,1,1,8800,1
4,14,0,2,1,1,8400,1
4,10,0,2,0,0,7800,1
4,5,0,2,0,1,7800,1
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
4,12,0,2,0,1,7800,1
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
4,12,0,2,1,0,6000,1
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,12,0,2,1,0,5400,1
4,20,0,2,2,0,18200,1
0,21,0,1,2,1,15600,0
0,6,0,2,1,1,7800,0
0,1,2,1,1,1,5600,0
0,22,0,0,1,0,8400,0
0,6,0,2,1,2,7800,0
0,4,0,1,2,2,18200,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
5,5,0,2,2,2,19200,0
0,5,0,2,2,0,15000,0
3,21,2,4,1,0,7200,0
0,12,0,2,0,0,7800,0
0,23,0,2,2,2,20000,0
0,6,0,2,1,2,7800,0
0,24,1,1,0,2,7800,0
1,1,3,0,1,0,5600,0
3,7,2,2,1,1,6600,0
3,25,0,2,0,2,7800,0
3,0,0,2,2,1,15400,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,26,0,2,0,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,8,0,2,2,0,15000,0
0,5,0,2,1,0,8200,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
3,15,0,0,1,2,6800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,1,7800,0
4,0,0,1,1,2,7200,0
0,6,0,2,1,1,7800,0
7,13,0,1,0,1,7800,0
0,8,0,2,0,0,7800,1
0,6,0,2,1,0,7800,0
5,21,2,4,1,0,6400,0
0,4,0,2,2,2,19200,0
4,8,0,2,2,0,17400,1
0,6,0,2,1,0,7800,0
0,1,3,0,1,1,7600,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,0,7800,0
0,10,0,2,1,1,7000,0
0,6,0,2,1,2,7800,0
0,12,0,1,1,0,7400,1
0,6,0,2,1,0,7800,0
0,7,0,1,1,2,8000,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,8,0,2,0,2,7800,1
0,8,0,2,0,1,7800,1
0,6,0,2,1,0,7800,0
0,8,0,2,0,2,7800,1
0,27,1,1,1,0,8000,0
7,1,1,0,1,0,5000,0
0,21,3,0,1,2,6600,0
0,5,1,0,1,2,6600,0
0,6,0,2,1,1,7800,0
0,28,0,2,2,2,16400,0
8,13,0,2,0,0,7800,0
0,12,0,2,0,0,7800,0
0,6,0,2,1,0,7800,0
0,6,0,2,1,2,7800,0
0,6,0,2,1,1,7800,0
0,29,0,1,1,2,5400,0
0,11,0,2,0,1,7800,0
4,30,0,2,0,1,7800,0
4,31,0,2,0,2,7800,0
4,9,0,1,0,0,7800,0
4,7,0,2,0,2,7800,0
7,31,2,0,0,1,7800,0
4,7,0,2,1,1,7400,0
4,7,0,2,1,0,7800,0
4,32,0,0,1,1,6000,0
4,25,2,1,1,0,6800,0
4,8,0,2,1,0,6200,0
4,32,0,0,1,0,6800,0
4,33,2,0,1,0,7400,0
4,31,0,2,1,0,6200,0
4,31,0,0,0,2,7800,0
4,34,0,2,2,0,18600,0
0,5,0,2,0,0,7800,1
4,7,0,2,2,0,16600,0
4,35,0,0,0,2,7800,0
4,32,0,0,1,2,6000,0
0,31,0,2,1,0,6000,0
4,9,0,1,0,2,7800,0
4,31,0,0,1,2,7600,0
0,31,2,0,0,1,7800,0
4,7,0,0,1,0,7800,0
0,5,0,1,1,1,6400,1
0,6,0,2,1,2,7800,0
0,6,0,2,1,2,7800,0
1,4,0,0,1,1,6200,0
0,1,0,1,1,2,5200,0
