"Ville","Secteur_activite","Type_contrat","Niveau_etudes","Experience","Langue","Teletravail"
"Casablanca","RH","CDI","Bac +2","Intermediaire","Anglais Français","Non"
"Casablanca","Commercial","CDI","Bac +2","Intermediaire","Français","Non"
"Tanger","Administration des ventes","CDI","Bac +2","Debutant","Français","Non"
"Tanger","Call Centers (métiers de) - Commercial","CDI","Bac +2","Debutant","Anglais","Non"
"Tanger","Call Centers (métiers de) - Commercial","CDI","Bac +2","Debutant","Anglais Français","Non"
"Settat","Production","CDI","Bac +2","Senior","Anglais Français","Non"
"Casablanca","Achats","CDI","Bac +3","Intermediaire","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Marrakech","Gestion projet","CDI","Qualification avant Bac","Intermediaire","Français","Non"
"Casablanca","Production","CDI","Bac +5","Expert ","Anglais","Non"
"Casablanca","Informatique","CDI","Bac +5","Debutant","Anglais Français","Hybride"
"Casablanca","Informatique","CDI","Bac +5","Debutant","Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Informatique","CDI","Bac +5","Debutant","Français","Hybride"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Tanger","Call Centers (métiers de) - Commercial","CDI","Bac +2","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Assistanat de Direction","CDI","Bac +3","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Gestion","CDI","Bac +5","Senior","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Production","CDI","Bac +5","Intermediaire","Anglais Français","Non"
"Rabat","Communication","CDI","Bac +5","Senior","Français","Non"
"Casablanca","Informatique","CDI","Bac +5","Debutant","Anglais","Non"
"Agadir","Audit","CDI","Bac +5","Intermediaire","Français","Non"
"Agadir","Achats","CDI","Bac +5","Senior","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Fès","Méthodes","Autre","Bac +5","Debutant","Français","Hybride"
"Fès","Méthodes","Autre","Bac +5","Debutant","Anglais","Hybride"
"Fès","Télécoms","Autre","Bac +5","Debutant","Anglais Français","Non"
"Tanger","Production","CDI","Bac +2","Intermediaire","Français","Non"
"Al Hoceima","Production","CDI","Bac +5","Intermediaire","Anglais","Non"
"Al Hoceima","Production","CDI","Bac +5","Intermediaire","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Casablanca","Gestion projet","CDI","Bac +2","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","RH","CDI","Bac +5","Expert ","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
"Rabat","Call Centers (métiers de) - Hôtellerie","CDI","Bac +2","Debutant","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais","Non"
"Rabat","Gestion projet","CDD","Bac +5","Debutant","Français","Non"
"Marrakech","Gestion projet","CDI","Bac +5","Expert ","Anglais Français","Non"
"Rabat","RH","CDI","Bac +5","Intermediaire","Anglais Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Français","Non"
"Casablanca","Agriculture (métiers de l') - Secteur Agroalimentaire - Chimie","CDI","Bac +5","Intermediaire","Français","Non"
"Casablanca","Centres d'appels","CDI","Bac +5","Debutant","Anglais Français","Non"
